start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,age,gender,education,beliefs_1,beliefs_2,beliefs_3,beliefs_4,beliefs_5,beliefs_6,beliefs_7,beliefs_8,beliefs_9,beliefs_10,beliefs_11,beliefs_12,beliefs_13,beliefs_14,beliefs_15,beliefs_16,beliefs_17,beliefs_18,beliefs_19,beliefs_20,beliefs_21,beliefs_22,beliefs_23,beliefs_24,beliefs_25,beliefs_26,beliefs_27,beliefs_28,beliefs_29,beliefs_30,beliefs_31,beliefs_32,beliefs_33,beliefs_34,beliefs_35,beliefs_36,beliefs_37,beliefs_38,beliefs_39,beliefs_40,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q11_9,q11_10,q11_11,q11_12,q11_13,q11_14,exposure_qual,q127_first_click,q127_last_click,q127_page_submit,q127_click_count,q43_2,q43_3,q43_1,q45_1,q45_4,q45_5,q45_6,q45_7,q46_1,q46_4,q46_5,q46_6,npi_1,npi_2,npi_3,npi_4,npi_5,npi_6,npi_7,npi_8,npi_9,npi_10,npi_11,npi_12,npi_13,npi_14,npi_15,npi_16,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,bdw_1,bdw_2,bdw_3,bdw_4,bdw_5,bdw_6,bdw_7,bdw_8,bdw_9,bdw_10,q89_1,q89_2,q89_3,q89_4,q89_5,q89_6,q27,prolific_pid,study_id,session_id,cam,climate,vax,condition
2021-07-29T01:57:14Z,2021-07-29T02:11:07Z,0,100,833,1,2021-07-29T02:11:07Z,NA,anonymous,EN-GB,25,female,6,1,5,3,6,1,5,1,3,5,6,5,7,7,6,5,6,1,5,7,5,5,6,6,1,2,1,4,2,6,3,4,1,1,1,1,4,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,"This person appears to be narrow-minded and likely unaware of the sufficient amount of evidence we have. The writing is on the wall that human behaviour is contributing to changes in our climate and ecosystems. I apologise for your persepctive, especailly apologise for the generations to come.",8.788,8.788,104.82,1,92,10,62,10,12,9,11,1,51,51,52,20,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,2,5,4,4,3,2,2,3,2,6,4,5,5,5,5,5,4,5,2,2,2,1,2,2,1,2,4,4,4,2,4,2,4,2,4,2,2,2,2,2,2,NA,NA,NA,NA,5,6,7,Anthropogenic (Human Caused) Climate Change
2021-07-29T02:18:19Z,2021-07-29T02:31:36Z,0,100,797,1,2021-07-29T02:31:38Z,NA,anonymous,EN-GB,19,female,2,5,7,2,5,6,5,7,7,2,5,2,7,3,7,4,6,5,6,7,6,7,7,7,6,5,4,5,6,4,6,7,1,4,1,4,2,2,6,7,4,2,1,1,1,3,2,3,2,3,3,2,2,1,2,Vaccines have been researched and tested and have shown little to no correlation of being ineffective on children. This would be the type of person who thinks vaccines can give autism to children. People like this don't understand correlation vs causation in vaccinations.,4.13,4.13,71.135,1,100,100,100,100,80,80,90,50,50,40,20,10,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,5,5,5,3,1,1,1,3,1,1,5,6,4,5,4,5,2,1,1,2,5,1,1,4,4,5,2,3,2,2,3,5,2,2,1,3,2,5,1,NA,NA,NA,NA,7,7,7,Vaccinations
2021-07-29T02:16:40Z,2021-07-29T02:34:34Z,0,100,1074,1,2021-07-29T02:34:34Z,NA,anonymous,EN-GB,20,female,2,4,6,5,6,6,4,7,5,4,5,4,5,4,6,5,4,4,4,6,4,4,6,7,3,4,2,5,5,6,5,5,3,7,4,7,3,4,4,7,5,3,2,3,4,4,2,4,4,4,3,4,4,3,4,"the person who wrote this tweet deems it to be too much of a risk as this particular vaccine holds negative stigma to it having many dangerous side affects to it and it should not be given to such young children who do not get a say in the matter. Adults are already feeling said side affects, no child should be exposed to it at such a young age",5.183,166.461,168.793,10,10,10,50,1,1,10,1,1,1,1,1,20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,5,5,6,6,4,2,4,4,3,5,3,5,6,6,6,5,5,2,3,2,5,3,2,1,4,3,4,2,3,4,2,4,3,4,5,5,3,5,6,1,NA,NA,NA,NA,6,7,6,Vaccinations
2021-07-29T02:28:04Z,2021-07-29T02:34:43Z,0,100,399,1,2021-07-29T02:34:43Z,NA,anonymous,EN-GB,20,Female,5,5,4,4,5,5,4,3,4,5,4,4,6,5,5,4,5,5,4,5,4,5,5,4,3,5,6,5,3,4,4,4,3,5,4,5,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"It depends on the vaccine. Most vaccines for children are beneficial in protecting them against harmful viruses while their little immune systems grow, but we know it varies for some children and their genetic makeup/reactions/religion etc.",3.283,38.761,64.043,4,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,5,4,3,4,3,2,4,4,4,3,3,3,3,2,3,3,3,2,3,4,4,4,4,4,4,NA,NA,NA,NA,4,4,5,Vaccinations
2021-07-29T02:18:22Z,2021-07-29T02:36:21Z,0,100,1078,1,2021-07-29T02:36:21Z,NA,anonymous,EN-GB,19,female,2,6,6,4,7,6,4,2,6,4,6,5,6,4,7,5,6,2,5,7,7,7,5,7,4,3,3,3,1,4,2,4,3,3,1,4,4,2,3,4,1,1,1,1,1,1,1,2,2,1,1,3,3,2,2,"Clearly someone who has no clue or background in science would say that. They are saying point blank humans have had no impact in climate change, and I believe there is enough evidence and discussion among scientists that mankind have definitely had an impact.",6.001,6.001,101.086,1,100,83,83,100,100,75,100,0,29,8,8,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,2,2,2,2,1,2,3,3,3,2,3,5,5,2,5,3,4,3,2,3,2,1,4,1,1,3,5,1,1,5,2,5,4,2,1,1,4,2,2,4,NA,NA,NA,NA,6,7,7,Anthropogenic (Human Caused) Climate Change
2021-07-29T02:25:37Z,2021-07-29T02:36:24Z,0,100,646,1,2021-07-29T02:36:25Z,NA,anonymous,EN-GB,20,Female,2,3,3,4,6,4,2,1,5,5,4,2,7,1,7,6,5,2,7,7,7,7,4,6,5,4,1,5,5,4,4,4,5,1,1,4,4,1,1,2,1,1,1,1,2,2,2,3,3,3,3,3,3,2,3,"I think the idea of depriving children of antibodies is inconsiderate and ignorant. The type of person who authored the tweet is possibly unaware of the positive effects of vaccines and how they are made, and therefore believes they only have negative effects.",4.701,33.346,76.692,4,100,61,61,92,29,30,29,0,31,32,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,1,3,2,1,3,5,2,2,3,2,4,4,4,4,3,4,4,3,3,3,5,2,1,4,1,5,3,4,2,2,3,5,2,2,1,3,5,1,1,NA,NA,NA,NA,3,6,7,Vaccinations
2021-07-29T02:19:51Z,2021-07-29T02:41:11Z,0,100,1280,1,2021-07-29T02:41:11Z,NA,anonymous,EN-GB,28,Male,5,1,3,1,2,1,1,1,2,5,3,4,6,1,6,5,2,1,4,7,6,7,1,7,1,1,1,1,7,3,5,5,1,2,1,1,1,3,1,1,1,2,2,1,3,2,1,3,3,3,3,3,3,2,3,"As easy as it would be to say this is pathetic, it's honestly quite sad and disheartening the extent to which there is distrust in the medical and scientific community, largely because there's a lack of emphasis on scientific literacy and critical thinking",5.635,132.476,136.934,3,95,90,100,50,90,100,100,50,20,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,2,2,1,1,1,2,1,1,2,4,3,3,2,3,2,1,1,1,1,3,1,5,1,2,5,4,1,4,1,5,1,2,2,5,2,2,1,NA,NA,NA,NA,3,7,7,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:20:27Z,2021-07-29T02:45:30Z,0,100,1503,1,2021-07-29T02:45:32Z,NA,anonymous,EN-GB,28,Female,5,6,6,5,5,6,4,5,4,2,6,4,7,4,7,6,6,4,6,5,3,6,6,7,4,6,2,4,3,6,3,5,4,5,2,2,1,5,2,2,2,2,2,1,1,2,1,1,2,2,3,4,5,2,3,"This can be both true and untrue; the medical establishment and scientists can help keep people safe by researching alternative medicines and their efficacy and risks. However, this person seems to imply that alternative medicines as a whole are ineffective and should be avoided.",30.732,181.289,188.991,11,100,50,60,20,0,0,10,0,50,40,40,40,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,3,3,3,3,2,2,3,4,3,3,3,4,4,4,4,5,1,1,2,1,1,2,1,4,2,4,4,1,3,2,4,4,2,3,3,3,2,7,2,NA,NA,NA,NA,6,7,5,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:24:34Z,2021-07-29T02:48:38Z,0,100,1443,1,2021-07-29T02:48:40Z,NA,anonymous,EN-GB,28,Female,5,3,5,2,3,4,3,1,4,4,2,2,6,2,5,4,3,3,2,7,7,6,3,7,2,2,1,3,4,5,3,4,1,1,1,1,1,2,4,2,1,2,1,1,1,2,1,3,3,3,3,3,3,3,3,I think that alternative medicines can be effective to a degree but when it comes to a deadly virus where seeking alternative treatment heightens the risk to others I believe that information should be readily available to dissuade people from seeking these treatments. I don't think twitter is ever conducive to reliable information though.,101.362,342.38,545.48,5,62,6,77,48,69,36,20,0,50,50,53,54,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,3,1,1,3,2,4,2,2,1,5,4,4,4,4,4,2,2,2,2,2,2,1,4,2,3,4,4,2,4,2,5,4,3,2,5,2,2,5,NA,NA,NA,NA,5,7,7,Alternative Medicines (e.g. Herbal Remedies)
2021-07-29T02:38:09Z,2021-07-29T02:48:47Z,0,100,638,1,2021-07-29T02:48:47Z,NA,anonymous,EN-GB,19,female,2,5,5,4,7,4,2,2,3,3,5,2,5,1,6,5,5,5,6,7,7,3,4,7,1,4,1,1,3,3,5,5,1,5,1,1,4,5,3,3,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,"I disagree with this statement. The wording used by this person who authored the tweet does not sound very well educated in the topic they are discussing. There have been many proved studies and real life situations where vaccination children early help to prevent diseases in life that would be fatal, such as chicken pox and the previously known small pox outbreak.",4.079,4.079,76.709,1,100,100,100,100,100,100,100,20,2,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,2,2,4,3,2,3,2,3,2,5,5,3,5,5,4,4,4,3,2,4,3,3,2,1,4,5,5,5,2,4,4,4,5,2,5,3,1,3,2,1,NA,NA,NA,NA,5,7,7,Vaccinations
