dataset_pos,name_raw,name_clean,item_text,type,response_min,response_max,response_labels,units,reverse,scale,factor,citation
1,start_date,start_date,,,,,,,,,,
2,end_date,end_date,,,,,,,,,,
3,status,status,,,,,,,,,,
4,progress,progress,,,,,,,,,,
5,duration_in_seconds,duration_in_seconds,,,,,,,,,,
6,finished,finished,,,,,,,,,,
7,recorded_date,recorded_date,,,,,,,,,,
8,response_id,response_id,,,,,,,,,,
9,distribution_channel,distribution_channel,,,,,,,,,,
10,user_language,user_language,,,,,,,,,,
11,age,age,How old are you (in years)?,Numeric,18,,,,,,,
12,gender,gender,What gender do you identify as?,Character,,,,,,,,
13,education,education,What is the highest level of education you have completed?,Numeric,1,7,"Less than high school  (1) 
High school graduate  (2) 
Technical school diploma  (3) 
Associate Degree  (4) 
Bachelors degree  (5) 
Masters degree  (6) 
Doctorate  (7) ",,,,,
14,beliefs_1,beliefs_1,Chiropractory is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
15,beliefs_2,beliefs_2,Herbal remedies are beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
16,beliefs_3,beliefs_3,Reflexology is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
17,beliefs_4,beliefs_4,Daily multivitamins are beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
18,beliefs_5,beliefs_5,Homeopathy is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
19,beliefs_6,beliefs_6,Aromatherapy is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
20,beliefs_7,beliefs_7,Some crystals have healing properties ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
21,beliefs_8,beliefs_8,Traditional Chinese Medicine is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
22,beliefs_9,beliefs_9,Cannabis is beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
23,beliefs_10,beliefs_10,Acupuncture is an effective healthcare method ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
24,beliefs_11,beliefs_11,Hypnosis is beneficial for health ,Numeric,1,7,"1 = Definitely false, 7 = definitely true ",,,,,
